City,District,Location,BHK,Bathrooms,Floors,Area_Anna,Road_Width_Ft,Price_NPR
Kathmandu,Kathmandu,Ghattekulo,7.0,4.0,2.0,4.1,6.5,25500000.0
Kathmandu,Kathmandu,Maitidevi,8.0,6.0,3.5,10.0,14.0,8000000.0
Kathmandu,Kathmandu,Pepsicola,7.0,4.0,3.5,4.2,36.0,50000000.0
Kathmandu,Kathmandu,Pasikot,5.0,4.0,2.5,4.3,20.0,30000000.0
Kathmandu,Kathmandu,Goldhunga,8.0,4.0,3.5,4.5,10.0,29900000.000000004
Kathmandu,Kathmandu,Baneshwor,6.0,3.0,2.5,8.2,20.0,7000000.0
Bhaktapur,Bhaktapur,Kaushaltar,5.0,7.0,2.5,18.0,13.0,10000000.0
Kathmandu,Kathmandu,Goldhunga,8.0,4.0,3.5,3.0,10.0,29900000.000000004
Lalitpur,Lalitpur,Nakhudole,5.0,5.0,2.5,4.0,17.0,40000000.0
Kathmandu,Kathmandu,Chunikhel,2.0,1.0,1.0,3.0,12.0,13300000.0
Lalitpur,Lalitpur,Imadol,4.0,2.0,2.5,2.2,10.0,19000000.0
Kathmandu,Kathmandu,Matatirtha,6.0,4.0,3.0,13.3,16.0,40000000.0
Bhaktapur,Bhaktapur,Dhunchepakha,7.0,2.0,2.5,15.0,36.0,70000000.0
Lalitpur,Lalitpur,Patan,3.0,4.0,4.0,2.0,12.0,18000000.0
Kathmandu,Kathmandu,Dhapasi,5.0,1.0,2.5,6.0,10.0,32500000.0
Kathmandu,Kathmandu,Budhanilkantha,6.0,5.0,2.5,5.2,15.0,45000000.0
Kathmandu,Kathmandu,Hattigaunda,7.0,5.0,2.5,6.0,14.0,37500000.0
Lalitpur,Lalitpur,Imadol,6.0,4.0,4.0,15.3,22.0,125000000.0
Kathmandu,Kathmandu,Baluwakhani,7.0,5.0,2.5,5.1,13.0,34500000.0
Kathmandu,Kathmandu,Jorpati,3.0,3.0,2.5,2.2,12.0,14300000.0
Kathmandu,Kathmandu,Uttardhoka,9.0,9.0,5.0,6.0,16.0,65000000.0
Kathmandu,Kathmandu,New Buspark,6.0,5.0,3.5,9.0,13.0,85000000.0
Kathmandu,Kathmandu,Mitrapark,7.0,4.0,3.5,10.0,13.0,95000000.0
Kathmandu,Kathmandu,Boharatar,4.0,4.0,2.5,3.1,13.0,23000000.0
Kathmandu,Kathmandu,Chappal Karkhana,5.0,6.0,2.5,8.3,13.0,75000000.0
Kathmandu,Kathmandu,Sitapaila,3.0,3.0,2.5,4.0,13.0,27500000.0
Kathmandu,Kathmandu,Thulobharyang,5.0,5.0,2.5,18.0,15.0,6000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,5.0,2.5,6.0,13.0,50000000.0
Kathmandu,Kathmandu,Maharajgunj,5.0,4.0,3.5,12.0,10.0,120000000.0
Lalitpur,Lalitpur,Imadol,4.0,4.0,2.5,3.2,13.0,26000000.0
Lalitpur,Lalitpur,Imadol,6.0,4.0,2.5,2.2,13.0,17500000.0
Lalitpur,Lalitpur,Imadol,5.0,5.0,2.5,3.0,13.0,23500000.0
Kathmandu,Kathmandu,Dhapasi,3.0,3.0,2.5,4.0,13.0,29500000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,4.0,2.5,3.3,16.5,32000000.0
Kathmandu,Kathmandu,Narayanthan,7.0,5.0,3.5,17.0,17.0,92500000.0
Lalitpur,Lalitpur,Dholahiti,4.0,5.0,2.5,4.0,27.0,40000000.0
Kathmandu,Kathmandu,Jyotinagar,7.0,4.0,2.5,4.0,14.0,35000000.0
Lalitpur,Lalitpur,Imadol,6.0,4.0,2.5,3.1,13.0,22500000.0
Lalitpur,Lalitpur,Imadol,4.0,4.0,2.5,2.3,13.0,21000000.0
Lalitpur,Lalitpur,Ochu Height,4.0,5.0,2.5,3.0,13.0,22500000.0
Lalitpur,Lalitpur,Imadol,6.0,4.0,2.5,3.3,20.0,25500000.0
Kathmandu,Kathmandu,Bhangal,6.0,3.0,2.5,4.0,18.0,27000000.0
Kathmandu,Kathmandu,Sitapaila,4.0,5.0,2.5,5.0,13.0,29500000.0
Kathmandu,Kathmandu,Sitapaila,4.0,3.0,2.5,7.0,13.0,37500000.0
Kathmandu,Kathmandu,Goldhunga,4.0,3.0,2.5,3.0,16.0,20500000.0
Kathmandu,Kathmandu,Mandikhatar,10.0,5.0,2.5,3.0,13.0,25000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,1.0,2.5,4.1,12.0,38000000.0
Kathmandu,Kathmandu,Sitapaila,5.0,3.0,2.5,6.2,20.0,47000000.0
Lalitpur,Lalitpur,Imadol,4.0,2.0,2.5,4.0,13.0,34000000.0
Kathmandu,Kathmandu,Attarkhel,8.0,3.0,3.0,3.2,13.0,30000000.0
Kathmandu,Kathmandu,Syuchatar,4.0,2.0,2.0,3.2,14.0,22000000.0
Kathmandu,Kathmandu,Kapan,6.0,4.0,2.5,3.2,13.0,22500000.0
Kathmandu,Kathmandu,Grande Villa,3.0,3.0,2.5,11.0,17.0,60000000.0
Kathmandu,Kathmandu,Baneshwor,6.0,4.0,3.5,4.0,14.0,49900000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,5.0,2.5,6.0,13.0,50000000.0
Kathmandu,Kathmandu,Lazimpat,6.0,4.0,2.5,5.2,15.0,60000000.0
Kathmandu,Kathmandu,Budhanilkantha,4.0,6.0,2.5,9.2,20.0,62000000.0
Kathmandu,Kathmandu,Lambagar,6.0,3.0,2.5,4.0,11.0,26000000.0
Other,Other,Kathmandu,4.0,6.0,2.5,3.0,32.0,27000000.0
Kathmandu,Kathmandu,Baluwakhani,6.0,3.0,3.0,3.1,16.0,27500000.0
Kathmandu,Kathmandu,Mandikhatar,4.0,5.0,2.5,4.0,20.0,42500000.0
Kathmandu,Kathmandu,Pepsicola,5.0,4.0,3.0,5.0,18.0,32500000.0
Kathmandu,Kathmandu,Kapan,6.0,4.0,2.5,2.3,13.0,18500000.0
Kathmandu,Kathmandu,Nikhileshwor,5.0,4.0,2.5,3.1,16.0,27500000.0
Kathmandu,Kathmandu,Danchhi,2.0,1.0,1.0,3.1,20.0,12000000.0
Kathmandu,Kathmandu,Kapan,5.0,3.0,2.5,6.0,15.0,45500000.0
Kathmandu,Kathmandu,Dhapasi,6.0,2.0,2.5,9.0,12.0,47000000.0
Kathmandu,Kathmandu,Jagdol,5.0,1.0,2.0,3.2,13.0,9000000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,5.0,2.5,6.0,15.0,90000000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,4.0,2.5,4.2,13.0,45000000.0
Kathmandu,Kathmandu,Mandikhatar,6.0,4.0,2.5,3.1,13.0,26500000.0
Kathmandu,Kathmandu,Mandikhatar,6.0,4.0,2.5,5.0,13.0,38500000.0
Lalitpur,Lalitpur,Imadol,5.0,4.0,2.5,3.1,13.0,24500000.0
Kathmandu,Kathmandu,Hepali Height,4.0,5.0,2.5,4.0,13.0,33500000.0
Kathmandu,Kathmandu,Pepsicola,5.0,4.0,2.5,7.0,20.0,67500000.0
Lalitpur,Lalitpur,Bhaisepati,6.0,4.0,2.5,4.2,20.0,40000000.0
Lalitpur,Lalitpur,Khumaltar,4.0,4.0,2.5,4.2,14.0,39000000.0
Kathmandu,Kathmandu,Raniban,6.0,5.0,3.5,4.2,14.0,31000000.0
Lalitpur,Lalitpur,Kusunti,4.0,4.0,2.5,4.2,11.0,40000000.0
Kathmandu,Kathmandu,Golfutar,6.0,4.0,2.5,9.0,12.0,125000000.0
Kathmandu,Kathmandu,Sanobharyang,7.0,4.0,2.5,3.3,13.0,36000000.0
Kathmandu,Kathmandu,Aakasedhara,6.0,5.0,2.5,5.0,12.0,31500000.0
Lalitpur,Lalitpur,Hattiban,7.0,5.0,3.0,4.1,13.0,40000000.0
Kathmandu,Kathmandu,Bhangal,5.0,4.0,2.5,4.1,13.0,32000000.0
Lalitpur,Lalitpur,Nakhipot,5.0,4.0,2.5,3.3,13.0,32500000.0
Kathmandu,Kathmandu,Tokha,3.0,1.0,1.0,2.2,13.0,10000000.0
Kathmandu,Kathmandu,Dharmasthali,8.0,4.0,2.5,5.0,36.0,26500000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,4.0,2.5,3.5,15.0,45000000.0
Kathmandu,Kathmandu,Golfutar,4.0,2.0,2.5,4.0,13.0,32500000.0
Kathmandu,Kathmandu,Sitapaila,2.0,1.0,1.0,3.0,13.0,14000000.0
Kathmandu,Kathmandu,Kapan,2.0,1.0,1.0,3.0,13.0,13500000.0
Lalitpur,Lalitpur,Gwarko,8.0,4.0,4.0,12.0,13.0,5000000.0
Kathmandu,Kathmandu,Hepali Height,4.0,5.0,2.5,4.0,13.0,33500000.0
Kathmandu,Kathmandu,Budhanilkantha,6.0,5.0,2.5,5.0,14.0,36000000.0
Kathmandu,Kathmandu,Yetkha,8.0,4.0,4.0,2.3,16.0,32000000.0
Kathmandu,Kathmandu,Sitapaila,5.0,7.0,2.5,5.0,13.0,65000000.0
Kathmandu,Kathmandu,Pasikot,4.0,3.0,2.5,4.4,15.0,45000000.0
Kathmandu,Kathmandu,Dhapasi,5.0,5.0,3.5,9.1,17.5,58000000.0
Kathmandu,Kathmandu,Baluwatar,5.0,5.0,2.5,6.2,15.0,65000000.0
Kathmandu,Kathmandu,Gothatar,5.0,3.0,2.5,3.3,28.0,24000000.0
Kathmandu,Kathmandu,Gaurighat,5.0,5.0,3.0,6.0,10.5,50000000.0
Kathmandu,Kathmandu,Bhangal,6.0,6.0,3.0,15.2,24.0,65000000.0
Lalitpur,Lalitpur,Nakhipot,7.0,5.0,2.5,4.0,12.0,36000000.0
Kathmandu,Kathmandu,Baluwakhani,5.5,4.0,3.0,3.0,14.0,22500000.0
Kathmandu,Kathmandu,Galkopakha,5.0,2.0,3.5,1.0,12.0,11000000.0
Lalitpur,Lalitpur,Imadol,3.0,3.0,2.5,3.0,13.0,21000000.0
Kathmandu,Kathmandu,Budhanilkantha,4.0,4.0,2.5,13.0,13.0,105000000.0
Kathmandu,Kathmandu,Budhanilkantha,4.0,4.0,2.5,6.0,13.0,46000000.0
Kathmandu,Kathmandu,Ekatabasti,4.0,4.0,2.5,4.1,16.0,36000000.0
Kathmandu,Kathmandu,Mandikhatar,5.0,5.0,2.5,4.3,13.0,34500000.0
Kathmandu,Kathmandu,Dhapasi,5.0,4.0,2.5,7.0,13.0,44000000.0
Kathmandu,Kathmandu,Lolang,2.0,1.0,1.0,3.0,13.0,13799999.999999998
Kathmandu,Kathmandu,Ekatabasti,5.0,3.0,2.5,3.0,13.0,18500000.0
Kathmandu,Kathmandu,Baluwatar,3.0,4.0,2.5,8.0,10.0,80000000.0
Bhaktapur,Bhaktapur,Radhe Radhe,4.0,4.0,4.0,2.2,24.0,24000000.0
Kathmandu,Kathmandu,Deuwa Chowk,6.0,5.0,2.5,3.0,13.0,24000000.0
Kathmandu,Kathmandu,Bhangal,5.0,4.0,2.5,5.0,13.0,37500000.0
Kathmandu,Kathmandu,Bhangal,5.0,4.0,3.0,4.0,13.0,29500000.0
Kathmandu,Kathmandu,Mandikhatar,6.0,4.0,2.5,5.0,13.0,37800000.0
Kathmandu,Kathmandu,Pepsicola,6.0,3.0,2.5,3.2,20.0,24000000.0
Kathmandu,Kathmandu,Kapan,6.0,4.0,2.5,4.0,13.0,26500000.0
Kathmandu,Kathmandu,Kapan,2.0,1.0,1.0,3.1,13.0,16800000.0
Kathmandu,Kathmandu,Sitapaila,5.0,3.0,3.0,2.2,13.0,15000000.0
Kathmandu,Kathmandu,Mandikhatar,6.0,5.0,3.0,3.1,16.0,27500000.0
Kathmandu,Kathmandu,Gothatar,6.0,4.0,2.5,3.1,20.0,22500000.0
Kathmandu,Kathmandu,Narephat,6.0,4.0,3.0,4.0,14.0,31500000.0
Kathmandu,Kathmandu,Putalisadak,12.0,6.0,6.0,3.0,13.0,77500000.0
Kathmandu,Kathmandu,Thamel,5.0,3.0,2.5,3.0,13.0,55000000.0
Lalitpur,Lalitpur,Kusunti,4.0,4.0,2.5,9.0,16.0,110000000.0
Kathmandu,Kathmandu,Bafal,7.0,3.0,2.5,4.0,12.0,36500000.0
Bhaktapur,Bhaktapur,Sipadol,2.0,1.0,1.0,4.0,13.0,15000000.0
Kathmandu,Kathmandu,Budhanilkantha,7.0,7.0,2.5,4.5,13.0,50000000.0
Kathmandu,Kathmandu,Ganesh Chowk,5.0,4.0,2.5,4.0,13.0,35000000.0
Kathmandu,Kathmandu,Chunikhel,5.0,4.0,2.5,4.0,13.0,28000000.0
Kathmandu,Kathmandu,Baluwatar,5.0,3.0,2.5,6.0,25.0,35000000.0
Kathmandu,Kathmandu,Mhaipi,4.0,4.0,3.0,4.0,20.0,33000000.0
Lalitpur,Lalitpur,Tikathali,6.0,4.0,2.5,2.6,12.0,22000000.0
Lalitpur,Lalitpur,Imadol,7.0,4.0,2.5,3.2,20.0,28500000.0
Kathmandu,Kathmandu,Ekatabasti,2.0,1.0,1.0,4.1,16.0,17000000.0
Kathmandu,Kathmandu,Budhanilkantha,5.0,4.0,2.5,5.0,13.0,36000000.0
Kathmandu,Kathmandu,Dhapasi,5.0,3.0,2.5,3.1,12.0,21000000.0
Lalitpur,Lalitpur,Harisiddhi,5.0,3.0,2.5,3.2,20.0,23500000.0
Kathmandu,Kathmandu,Rudreshwor,5.0,4.0,2.5,6.3,14.0,68000000.0
Kathmandu,Kathmandu,Baluwa,2.0,1.0,1.0,3.3,10.0,6800000.0
Lalitpur,Lalitpur,Nakkhu,8.0,6.0,3.0,8.0,15.0,64000000.0
Kathmandu,Kathmandu,Thapathali,5.0,4.0,2.0,7.0,14.0,60000000.0
Kathmandu,Kathmandu,Maijubahal,5.0,3.0,3.5,6.2,8.0,35000000.0
Kathmandu,Kathmandu,Samakhusi,3.0,4.0,2.5,3.0,12.0,32500000.0
Kathmandu,Kathmandu,Budhanilkantha,6.0,7.0,2.5,3.0,15.0,40000000.0
Kathmandu,Kathmandu,Budhanilkantha,9.0,4.0,4.5,10.0,13.0,105000000.0
Lalitpur,Lalitpur,Kusunti,5.0,4.0,2.5,3.2,13.0,24000000.0
Lalitpur,Lalitpur,Dhapakhel,6.0,4.0,3.0,2.2,13.0,19000000.0
Kathmandu,Kathmandu,Sundarbasti,6.0,5.0,3.0,3.2,12.0,25500000.0
Kathmandu,Kathmandu,Chandragiri,5.0,4.0,2.5,15.2,14.0,40000000.0
Kathmandu,Kathmandu,Baluwakhani,5.0,3.0,2.5,3.2,13.0,19500000.0
Kathmandu,Kathmandu,Basundhara,4.0,4.0,2.5,5.2,16.0,35000000.0
Kathmandu,Kathmandu,Thankot,5.0,3.0,2.5,2.3,13.0,16000000.0
Lalitpur,Lalitpur,Imadol,5.0,4.0,2.5,3.2,13.0,27500000.0
Kathmandu,Kathmandu,Wasik,5.0,4.0,3.0,5.2,14.0,37500000.0
Lalitpur,Lalitpur,Khumaltar,5.0,4.0,3.5,4.1,13.0,31000000.0
Kathmandu,Kathmandu,Koteshwor,5.0,6.0,3.5,4.0,26.0,45000000.0
Kathmandu,Kathmandu,Gongabu,5.0,3.0,2.5,8.0,10.0,51500000.0
Kathmandu,Kathmandu,Budhanilkantha,4.0,4.0,2.5,4.2,13.0,35000000.0
Kathmandu,Kathmandu,Budhanilkantha,4.0,4.0,2.5,4.2,13.0,35000000.0
Kathmandu,Kathmandu,Budhanilkantha,5.0,3.0,2.5,3.0,10.0,37500000.0
Lalitpur,Lalitpur,Ochu Height,4.0,4.0,2.5,3.0,13.0,23000000.0
Kathmandu,Kathmandu,Mandikhatar,5.0,5.0,2.5,5.0,16.0,39500000.0
Kathmandu,Kathmandu,Thankot,4.0,4.0,2.5,3.0,13.0,21000000.0
Lalitpur,Lalitpur,Imadol,14.0,6.0,4.5,7.0,18.0,70000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,3.0,2.5,4.1,10.0,38000000.0
Kathmandu,Kathmandu,Makalbari,2.0,1.0,1.0,8.0,13.0,31000000.0
Lalitpur,Lalitpur,Imadol,4.0,4.0,3.0,3.1,13.0,24000000.0
Lalitpur,Lalitpur,Changathali,6.0,4.0,2.5,3.1,11.0,15000000.0
Kathmandu,Kathmandu,Pepsicola,4.0,4.0,3.0,2.2,20.0,24000000.0
Kathmandu,Kathmandu,Banasthali,5.0,5.0,2.5,6.2,20.0,70000000.0
Lalitpur,Lalitpur,Imadol,5.0,4.0,2.5,3.2,20.0,27500000.0
Lalitpur,Lalitpur,Kusunti,5.0,4.0,2.5,4.0,16.0,27500000.0
Kathmandu,Kathmandu,Soltidobato,3.0,3.0,2.5,4.0,13.0,30000000.0
Kathmandu,Kathmandu,Boharatar,4.0,4.0,2.0,6.0,13.0,48500000.0
Kathmandu,Kathmandu,Ekatabasti,4.0,4.0,3.5,5.0,13.0,36500000.0
Kathmandu,Kathmandu,Hepali Height,5.0,5.0,2.5,3.0,12.0,30000000.0
Kathmandu,Kathmandu,Baniyatar,7.0,4.0,3.0,3.5,14.0,37500000.0
Kathmandu,Kathmandu,Machhe Gaun,5.0,4.0,1.5,3.0,16.0,12000000.0
Kathmandu,Kathmandu,Thapagaun,3.0,3.0,2.5,4.2,12.0,43000000.0
Kathmandu,Kathmandu,Ekatabasti,4.0,4.0,2.5,4.0,13.0,29500000.0
Kathmandu,Kathmandu,Kharibot,5.0,3.0,2.5,5.0,14.0,30500000.0
Kathmandu,Kathmandu,Shankhamul,8.0,8.0,2.5,3.2,13.0,45000000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,5.0,2.5,3.2,16.0,26500000.0
Kathmandu,Kathmandu,Golfutar,4.0,3.0,2.5,4.0,13.0,37500000.0
Lalitpur,Lalitpur,Jharuwarasi,3.0,2.0,2.5,4.3,20.0,13000000.0
Kathmandu,Kathmandu,Budhanilkantha,6.0,5.0,2.5,5.0,14.0,36000000.0
Kathmandu,Kathmandu,Paknajol,6.0,4.0,3.0,9.0,10.0,72500000.0
Kathmandu,Kathmandu,Pasikot,5.0,4.0,2.5,6.0,13.0,35000000.0
Kathmandu,Kathmandu,Manabahadur Marga,7.0,5.0,2.5,4.0,13.0,31000000.0
Kathmandu,Kathmandu,Sinamangal,5.0,4.0,2.5,4.1,20.0,49000000.0
Kathmandu,Kathmandu,Manabahadur Marga,5.0,4.0,2.5,4.2,16.0,33000000.0
Lalitpur,Lalitpur,Imadol,5.0,4.0,2.5,3.2,13.0,26500000.0
Kathmandu,Kathmandu,Machhapokhari,6.0,4.0,3.5,8.0,10.5,55000000.0
Kathmandu,Kathmandu,Manamaiju,13.0,4.0,3.5,8.2,18.0,58500000.0
Lalitpur,Lalitpur,Imadol,4.0,3.0,2.5,3.0,13.0,2200000.0
Lalitpur,Lalitpur,Nakkhu,4.0,4.0,2.5,4.0,15.0,28000000.0
Lalitpur,Lalitpur,Imadol,4.0,3.0,2.5,2.3,13.0,19500000.0
Kathmandu,Kathmandu,Dhapasi,3.0,2.0,1.5,2.5,6.0,10000000.0
Kathmandu,Kathmandu,Bhangal,5.0,3.0,2.5,4.0,13.0,31000000.0
Kathmandu,Kathmandu,Bhimsengola,6.0,6.0,2.5,10.0,20.0,75000000.0
Other,Other,Kathmandu,5.0,6.0,2.5,8.0,22.0,76500000.0
Kathmandu,Kathmandu,Budhanilkantha,6.0,5.0,2.5,5.0,14.0,36000000.0
Kathmandu,Kathmandu,Manabahadur Marga,5.0,6.0,3.5,4.0,20.0,35000000.0
Kathmandu,Kathmandu,Bhangal,5.0,4.0,2.5,5.0,13.0,29500000.0
Kathmandu,Kathmandu,Chunikhel,4.0,3.0,2.0,3.2,15.0,22000000.0
Bhaktapur,Bhaktapur,Darjeeling Height,4.0,2.0,2.0,2.0,10.0,17500000.0
Kathmandu,Kathmandu,Rudreshwor,5.0,5.0,2.5,12.0,13.0,145000000.0
Lalitpur,Lalitpur,Sanepa,5.0,4.0,2.5,5.0,10.0,45000000.0
Kathmandu,Kathmandu,Dhapasi,5.0,2.0,2.5,3.0,13.0,21000000.0
Kathmandu,Kathmandu,Narayanthan,5.0,6.0,2.5,11.0,13.0,105000000.0
Lalitpur,Lalitpur,Bhelpa,5.0,3.0,2.5,3.2,11.0,26500000.0
Lalitpur,Lalitpur,Sanepa,6.0,5.0,2.5,5.0,16.0,65000000.0
Kathmandu,Kathmandu,Manamaiju,9.0,4.0,3.5,4.0,12.0,38000000.0
Kathmandu,Kathmandu,Maitidevi,8.0,5.0,3.5,14.0,13.0,105000000.0
Kathmandu,Kathmandu,Sukedhara,7.0,3.0,2.5,4.0,12.0,29500000.0
Kathmandu,Kathmandu,Hattigaunda,5.0,7.0,3.5,5.1,13.0,39000000.0
Lalitpur,Lalitpur,Thaiba,4.0,4.0,2.5,3.1,20.0,12500000.0
Lalitpur,Lalitpur,Bhaisepati,5.0,5.0,2.5,5.0,18.0,45000000.0
Lalitpur,Lalitpur,Bhaisepati,4.0,5.0,2.5,4.2,20.0,45000000.0
Kathmandu,Kathmandu,Basundhara,6.0,5.0,3.0,5.0,13.0,40000000.0
Lalitpur,Lalitpur,Jawalakhel,7.0,4.0,3.5,3.0,18.0,30000000.0
Kathmandu,Kathmandu,Golfutar,4.0,3.0,2.5,4.1,13.0,37500000.0
Kathmandu,Kathmandu,Chunikhel,5.0,3.0,2.5,3.1,13.0,20500000.0
Kathmandu,Kathmandu,Mandikhatar,5.0,4.0,2.5,3.2,13.0,22200000.000000004
